dlga_start:close_window|Aviso: esta linha nunca é exibida. É apenas para armazenar variáveis de conversação.
dlga_archer_challenge:archer_challenge_2|Está bem. Seu primeiro treinamento será o tiro com arco. O arco é uma arma difícil de dominar. Porém, uma vez que você seja suficientemente hábil com ele, poderá disparar com rapidez e precisão. Vá buscar o arco e as flechas que você vê ali e atire nos alvos.
dlga_archer_challenge_2:close_window|Certo. Estou pronto.
dlga_archer_challenge_2:close_window.1|Desculpe. Tenho que fazer uma coisa primeiro.
dlga_start:horseman_melee_challenge_2|Espero que tenha gostado do passeio. Agora passemos para a algo um pouco mais difícil. Pegue a lança que você vê ali e, cavalgando seguindo o curso de cada alvo, golpeie-os pelo menos uma vez.
dlga_start:horseman_melee_challenge_2.1|Muito bem! Você conseguiu atingir todos os alvos a cavalo. Isso não é tarefa fácil para um iniciante. Seu próximo desafio será usar um arco e flecha para atirar nos alvos que encontrar pelo caminho. Você terá que apontar para cada alvo.
dlga_start:horsemanship_end|Muito bom. Você foi capaz de atirar em todos os alvos do lombo de um cavalo. Cavalgue e pratique essas coisas todos os dias. Se fizer isso, ao longo do tempo você se tornará um perito cavaleiro.
dlga_horsemanship_end:close_window|Agora você pode ir falar com os guerreiros ou com o treinador arqueiro, caso não o tenha feito ainda. Você deve aprender tudo o que puder para estar preparado quando precisar se defender.
dlga_start:horseman_talk|Saudações, irmão! Eu vim aqui obter uma prática de montaria, mas meus velhos músculos doem tanto que decidi fazer uma pausa por hoje. Você quer praticar sua montaria? Se quiser, pode montar o meu cavalo. O exercício lhe fará bem.
dlga_horseman_talk:horseman_challenge|Sim, gostaria de praticar a montaria.
dlga_horseman_talk:close_window|Uhm. Talvez mais tarde.
dlga_horseman_challenge:horseman_melee_challenge_2|Ótimo. Agora mostrarei alguns exercícios para ensinar-lhe a montar e usar armas enquanto estiver a cavalo. Sua primeira tarefa é simples. Apenas monte em seu cavalo e cavalgue ao redor do campo. Pode ir lentamente ou rápido, como você desejar. Volte apenas quando se sentir seguro como um cavalgador, para que eu possa lhe propor algumas tarefas mais complexas.
dlga_horseman_melee_challenge_2:close_window|Certo. Estou pronto.
dlga_horseman_melee_challenge_2:close_window.1|Um minuto, tenho que fazer algo antes.
dlga_tutorial_troop_default:close_window|Ei, estou tentando praticar aqui. Vá falar com o arqueiro instrutor se precisar de ajuda com armas de longo alcance.
dlga_start:lord_prison_break_confirm_3|Há uma mudança de plano?
dlga_start:lord_prison_break|O que está acontecendo?
dlga_start:drunk_response|O que você está olhando?
dlga_start:drunk_response.1|Está olhando para mim?
dlga_start:close_window.3|Eu humildemente peço que mantenha suas mãos onde eu possa vê-las.
dlga_player_duel_response:close_window|Que desperdício...
dlga_player_duel_response:close_window.1|Antes ele do que eu.
dlga_drunk_response:drunk_fight_start|Não sei dizer... Algum animal, sem dúvida.
dlga_drunk_response:drunk_fight_start.1|Não necessidade disso, por favor aceite minhas desculpas.
dlga_drunk_fight_start:close_window|Vou tirar esse sorriso do seu rosto!
dlga_drunk_response:drunk_player_high_renown|Você tem alguma ideia de quem eu sou?
dlga_drunk_player_high_renown:drunk_fight_start|Deveria me importar?
dlga_drunk_player_high_renown:drunk_player_high_renown|Hummm... Na verdade... Sim, sim, eu sei quem você é, {senhor/madame}. Por favor, perdoe-me vossa Graça... deve ser o álcool. Vou indo, agora...
dlga_drunk_player_high_renown:drunk_fight_start.1|Grande conversa para um pequeno verme. Vou colocá-lo em seu lugar!
dlga_drunk_player_high_renown:close_window|Como eu imaginava. Agora retire-se daqui!
dlga_start:fistfight_response|Certamente você parece {um camarada/uma dama} capaz de dar um bom par de golpes. Tenho uma proposta para você.
dlga_fistfight_response:fistfight_response_2|Como assim?
dlga_fistfight_response_2:fistfight_response_2a|Bom. Alegro-me em ver que está interessado. O plano é o seguinte... É um pouco complicado, então ouça-me atentamente.
dlga_fistfight_response_2a:fistfight_response_3|Você e outra pessoa começarão uma briga aqui. Sem armas, nem armadura... Eu me sentarei aqui e receberei apostas, para depois dividir os lucros com o vencedor. Se perdermos, vou cobrir os custos. Você não tem nada a perder... exceto um pouco de sangue, é claro.
dlga_fistfight_response_3:fistfight_response_4|No entanto, é impossível organizar isso como um daqueles belos confrontos na arena, onde todas as apostas são feitas com antecedência. Pessoas a pé, atraídas pelo barulho, apostarão alguns Florins em quem acreditarem que irá ganhar. Estou convencido de que temos muito a ganhar com isso.
dlga_fistfight_response_4:fistfight_response_4a|Bem, como pode ver, o truque é prolongar a luta o maior tempo possível, de modo que todos pensem que você irá perder. As pessoas vão se colocar contra você e você inverterá o destino da luta no último momento. Para você, a melhor maneira de fazer dinheiro é deixar-se ser espancado até quase o nocaute, em seguida, levantar-se e vencer. Você deve virar o jogo no fim da luta, caso contrário, nem eu, nem você, ganharemos o dinheiro.
dlga_fistfight_response_4a:fistfight_response_5|Por outro lado, você não pode arrastar a luta por muito tempo, porque assim as pessoas vão começar a suspeitar do truque. Por isso, ambos terão que receber alguns golpes de vez em quando. Não me importa quanto sangue seja derramado, mas os espectadores precisam ver sangue.
dlga_fistfight_response_5:fistfight_response_5a|E outra coisa... O meu colega, com quem você vai lutar, não é muito inteligente. Ele partirá diretamente para você, portanto será de sua responsabilidade introduzir criatividade no combate.
dlga_fistfight_response_5a:fistfight_response_confirm|E então, o que me diz?
dlga_fistfight_response_confirm:close_window.1|Tenho coisas melhores para fazer.
dlga_start:ramun_introduce_1|Que tenha um bom dia, {meu jovem/minha jovem}.
dlga_ramun_introduce_1:ramun_introduce_2|Perdoe-me, você parece ser um mercador, mas não consigo ver suas mercadorias.
dlga_ramun_introduce_1:close_window|Não me importa.
dlga_ramun_introduce_2:ramun_introduce_3|Mercador? Oh, sim, sou um mercador. Meus bens são um pouco diferentes do tradicional. Devem ser alimentados e hidratados duas vezes ao dia, e quando eu me viro, tentam escapar.
dlga_ramun_introduce_3:ramun_introduce_4|Gado?
dlga_ramun_introduce_4:ramun_introduce_5|Não exatamente. Costumo dizer a mim mesmo que sou o homem responsável por manter todos os navios do oceano navegando. Veja só, os navios são movidos por remos e os remos necessitam de homens que os manejem, caso contrário eles param. É aí que eu entro.
dlga_ramun_introduce_5:ramun_introduce_6|Galeotes.
dlga_ramun_introduce_6:ramun_introduce_7|Vejo que você está compreendendo! Um porto comercial como este não poderia sobreviver sem eles. Os navios perdem vários pares de braços em cada viagem, por isso há sempre uma grande demanda. Os capitães vêm a mim, e pagam muito bem.
dlga_ramun_introduce_7:ramun_introduce_8|De onde vem os escravos?
dlga_ramun_introduce_8:ramun_introduce_9|A maior parte deles são criminosos condenados que eu compro das autoridades. Outros são prisioneiros de guerra de diferentes nações, trazidos a mim porque eu sempre ofereço os melhores preços. No entanto, de vez em quando também compro indivíduos de outras... "fontes". Não se pode ser muito exigente com seus fornecedores neste negócio. Você por acaso não teria algum prisioneiro aí com você?
dlga_ramun_introduce_9:ramun_introduce_10|Eu? 
dlga_ramun_introduce_10:ramun_introduce_11|Por que não? Se pretende colocar os pés fora desta cidade, mais cedo ou mais tarde acabará cruzando espadas com alguém. E se o Céu quiser, sairá vitorioso do encontro. Por que não fazer um dinheiro extra? Se você mantê-los vivos e trazê-los para mim, pagarei 50 Florins por cabeça. Não me importa quem são, nem de onde vêm.
dlga_ramun_introduce_11:ramun_introduce_12|Hmm... Pensarei sobre isso.
dlga_ramun_introduce_12:close_window|Pense nisso! Há uma grande quantidade de ouro a ser feito, não se deixe enganar. O suficiente para nós dois.
dlga_start:ramun_talk|Olá, {playername}.
dlga_ramun_pre_talk:ramun_talk|Algo mais?
dlga_ramun_talk:ramun_sell_prisoners|Eu trouxe alguns prisioneiros, Ramun. Gostaria de dar uma olhada?
dlga_ramun_sell_prisoners:ramun_sell_prisoners_2|Deixe-me ver o que você tem...
dlga_ramun_sell_prisoners_2:close_window|Foi um prazer fazer negócio com você.
dlga_ramun_talk:ramun_ask_about_capturing|Como faço para capturar um prisioneiro?
dlga_ramun_talk:ramun_ask_about_capturing.1|Pode contar-me novamente como capturar prisioneiros?
dlga_ramun_ask_about_capturing:ramun_have_blunt_weapon|Você é iniciante nesta prática, não é? Deixe-me explicar em termos simples. A regra básica para capturar um prisioneiro é nocauteá-lo com uma arma contundente, como uma maça ou uma clava de madeira, em vez de furá-lo com uma espada. Desta forma, ele perderá a consciência por um curto período de tempo em vez de sangrar até a morte, sabe? Eu suponho que você tenha uma arma dessas com você, tem?
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_yes|Claro.
dlga_ramun_have_blunt_weapon:ramun_have_blunt_weapon_no|Bem, na verdade eu não tenho.
dlga_ramun_have_blunt_weapon_yes:ramun_ask_about_capturing_2|Bom. Nesse caso, tudo o que precisa fazer é bater no idiota com sua arma e colocá-lo a ferros depois da luta. É um pouco diferente para os nobres e semelhantes, pois eles costumam estar suficientemente protegidos de modo que o tipo de arma utilizada torna-se irrelevante. Mesmo assim, podem sangrar como porcos se você golpeá-los com algo afiado. Eu não sou muito exigente quanto a minha mercadoria, mas insisto que eles devem estar vivos quando eu comprá-los.
dlga_ramun_have_blunt_weapon_no:ramun_have_blunt_weapon_no_2|Não? Ah, bem, esse deve ser o seu dia de sorte. Tenho aqui uma velha clava de madeira que iria jogar fora. Está um pouco gasto, mas acho que ainda serve para esmagar alguém até que pare de se mover. Tome, pode levá-lo.
dlga_ramun_have_blunt_weapon_no_2:ramun_have_blunt_weapon_yes|Obrigad{o/a}, Ramun. Irei experimentá-lo em breve.
dlga_ramun_ask_about_capturing:ramun_ask_about_capturing_2|Muito bem, tentarei explicar novamente em termos simples. A regra básica para capturar um prisioneiro é nocauteá-lo com uma arma contundente, como uma maça ou uma clava de madeira, em vez de furá-lo com uma espada. Desta forma, ele perderá a consciência por um curto período de tempo, em vez de sangrar até a morte. Para os nobres e semelhantes é um pouco diferente, pois eles costumam ser suficientemente protegidos de modo que o tipo de arma utilizada torna-se irrelevante. Mesmo assim, podem sangrar como porcos se você golpeá-los com uma arma afiada.
dlga_ramun_ask_about_capturing_2:ramun_ask_about_capturing_3|Certo, creio que entendi. Algo mais?
dlga_ramun_ask_about_capturing_3:ramun_ask_about_capturing_4|Bem, não é tão simples como parece. As armas contundentes não são tão danosas como as armas afiadas, desta forma lhe custará mais para derrotar seus inimigos. E acredite em mim, se você dar-lhes uma escolha, a maioria dos vermes que encontrar preferirá matá-l{o/a} do que capturá-l{o/a}. Então não espere cortesia quando sacar um clube no lugar de uma espada. Além disso, ter que arrastar os prisioneiros em torno de seu grupo o deixará mais lento, razão pela qual alguns preferem simplesmente libertar seus prisioneiros depois de uma batalha. Isso é loucura! Como alguém pode rejeitar todo esse dinheiro, hã?
dlga_ramun_ask_about_capturing_4:ramun_ask_about_capturing_5|Isso é tudo?
dlga_ramun_ask_about_capturing_5:ramun_ask_about_capturing_7|Ah, sim, uma última coisa. Lidar corretamente com prisioneiros não é fácil, pode-se dizer que é um tipo específico de habilidade. Se você deseja capturar muitos prisioneiros, deve tentar aprender os truques por conta própria... caso contrário, não conseguirá manter um só homem que pegar.
dlga_ramun_ask_about_capturing_7:ramun_pre_talk|Obrigado, tentarei me lembrar.
dlga_ramun_talk:ramun_leave|É melhor eu ir.
dlga_ramun_leave:close_window|Lembre-se, você pode me trazer qualquer prisioneiro que capturar. Pagarei uma boa quantia por cada um.
dlga_start:close_window.4|Peço humildemente que mantenha as mãos onde eu possa vê-las, {senhor/milady}.
dlga_start:manhunter_talk_b|Ei, você! Viu algum bandido por aqui?
dlga_manhunter_talk_b:manhunter_talk_b1|Sim, um grupo deles foi por ali há cerca de uma hora.
dlga_manhunter_talk_b1:close_window|Eu sabia! Vamos, rapazes, vamos pegar esses cães! Obrigado, {meu amigo/minha amiga}.
dlga_manhunter_talk_b:manhunter_talk_b2|Não, não vi nenhum bandido ultimamente.
dlga_manhunter_talk_b2:close_window|Bah! Eles se escondem como ratos neste país, mas vamos persegui-los e escorraçá-los algum dia. Mais cedo ou mais tarde...
dlga_looters_1:looters_2|{s4}
dlga_looters_2:close_window|Você não me dá medo. Lute comigo se tiver coragem!
dlga_looters_2:close_window.1|Você não conseguirá nada de mim, exceto a lâmina da minha espada, seu verme!
dlga_start:village_farmer_talk|{Milorde/Milady}, somos apenas pobres camponeses da aldeia de {s11}. {reg1?Estamos levando nossos produtos ao mercado de {s12}.:Estamos voltando do mercado de {s12} rumo à nossa terra.}
dlga_village_farmer_talk:farmer_bandit_information|Estou caçando um grupo de bandidos com a seguinte descrição... Você os viu?
dlga_farmer_bandit_information:village_farmer_talk|{s15}
dlga_village_farmer_talk:close_window|Verei o quanto vocês são pobres depois de tomar tudo o que têm!
dlga_village_farmer_talk:close_window.1|Continue então. Adeus.
dlga_start:minister_issues|Estou a seu serviço, {milorde/milady}.
dlga_start:close_window.5|Foi uma honra servi-lo, {senhor/minha senhora}.
dlga_start:member_castellan_talk|Sim, {playername}? O que posso fazer por você?
dlga_member_castellan_pretalk:member_castellan_talk|Algo mais?
dlga_member_castellan_talk:member_review_castle_garrison|Quero rever a guarnição do castelo.
dlga_member_review_castle_garrison:member_castellan_pretalk|Mas é claro. Aqui estão nossas listas, deixe-me saber se você quiser fazer quaisquer mudanças...
dlga_member_castellan_talk:member_review_castellan_equipment|Deixe-me ver seus equipamentos.
dlga_member_review_castellan_equipment:member_castellan_pretalk|Naturalmente. Está tudo aqui...
dlga_member_castellan_talk:member_castellan_join|Quero que abandone o castelo e una-se ao meu grupo.
dlga_member_castellan_join:close_window|Admito que gosto muito deste lugar... Mas se é esse o seu desejo, {playername}, irei com você.
dlga_member_castellan_join:member_castellan_pretalk|E onde é que dormiremos? Você move um exército inteiro com você, {playername}, não há espaço suficiente para todos nós. 
dlga_member_castellan_talk:close_window|[Deixar]
dlga_member_chat:kidnapped_girl_chat_1|Já chegamos em casa?
dlga_kidnapped_girl_chat_1:kidnapped_girl_chat_2|Ainda não.
dlga_kidnapped_girl_chat_2:close_window|Mal posso esperar. Sinto tanta falta da minha família que daria qualquer coisa para vê-los de novo.
dlga_member_chat:member_lady_1|{playername}, quando acha que chegaremos ao nosso destino?
dlga_member_lady_1:member_lady_2a|Ainda temos um longo caminho pela frente.
dlga_member_lady_1:member_lady_2b|Logo. Estamos quase lá.
dlga_member_lady_2a:close_window|Ah, nesse caso, vou desfrutar um pouco mais da viagem. Eu não vou reclamar. Acho muito mais agradável cavalgar ao ar livre do que ficar sentada no castelo o dia todo. Eu invejo você, sabia? Poderia viver assim o tempo todo.
dlga_member_lady_2b:close_window|Me alegro por isso. Não que eu não goste da sua companhia, mas sim porque sinto falta dos meus doces caprichos. Ainda assim, lamento ter que deixá-lo tão cedo. Você deve me prometer que, por vezes, virá me visitar.
dlga_member_chat:supported_pretender_talk|Saudações, {playername}, meu mais importante {súdito/súdita}. Aguardo o seu conselho.
dlga_supported_pretender_pretalk:supported_pretender_talk|Algo mais?
dlga_supported_pretender_talk:pretender_progress|O que acha de nossos progressos até o momento?
dlga_pretender_progress:pretender_progress_2|{reg11?Nós temos {reg11} lordes ao nosso lado:Ainda não temos nenhum lorde ao nosso lado}, enquanto que {reg21?{s9} ainda possui {reg21} lordes o apoiando:{s9} não conserva a lealdade de nenhum lorde}. {reg19?Controlamos {reg13?{reg13} cidades:} {reg14?{reg14} castelos:} {reg15?e {reg15} aldeias:}:Não controlamos nenhum território}, enquanto que {reg29?eles têm {reg23?{reg23} cidades:} {reg24?{reg24} castelos:} {reg25?e {reg25} aldeias:}:eles já não possuem nenhum território}. No total, {s30}.
dlga_pretender_progress_2:supported_pretender_pretalk|Nesse caso, temos que continuar lutando e mobilizar mais aliados!
dlga_pretender_progress_2:pretender_quit_rebel_confirm|Parece que essa rebelião não vai a lugar nenhum. Devemos nos render.
dlga_pretender_quit_rebel_confirm:pretender_quit_rebel_confirm_2|{playername}, você não pode me abandonar agora. Está falando sério?
dlga_pretender_quit_rebel_confirm_2:pretender_quit_rebel_confirm_3|De fato estou. Temo que não posso mais apoiá-lo.
dlga_pretender_quit_rebel_confirm_2:supported_pretender_pretalk|Foi uma piada. Eu lutarei por você até que sejamos vitoriosos.
dlga_pretender_quit_rebel_confirm_3:pretender_quit_rebel_confirm_4|Você está absolutamente certo disso? Nunca {o/a} perdoarei se abandonar minha causa neste momento de máxima necessidade.
dlga_pretender_quit_rebel_confirm_4:pretender_quit_rebel|Digo-lhe isso com plena convicção.
dlga_pretender_quit_rebel_confirm_4:supported_pretender_pretalk|Pensarei mais sobre o assunto.
dlga_pretender_quit_rebel:close_window|Que assim seja. Nesse caso, minha causa está perdida. Agora, só resta-me uma coisa a fazer. Deixarei Calradia para nunca mais voltar. Com a minha partida você pode tentar fazer as pazes com o {s4}.
dlga_supported_pretender_talk:supported_pretender_equip|{reg65?Milady:Milorde}, me permite examinar seus equipamentos?
dlga_supported_pretender_equip:supported_pretender_pretalk|Muito bem, está tudo aqui...
dlga_supported_pretender_talk:pretneder_view_char_requested|Se não se importa, poderia me falar sobre suas habilidades?
dlga_pretneder_view_char_requested:supported_pretender_pretalk|Bem, é claro.
dlga_supported_pretender_talk:supported_pretender_grant_fief|Sugiro que decida conceder um feudo que ainda esteja sem senhor.
dlga_supported_pretender_grant_fief:supported_pretender_grant_fief_select|Que feudo tem em mente?
dlga_supported_pretender_grant_fief_select:supported_pretender_grant_fief_choose_recipient|{s4}
dlga_supported_pretender_grant_fief_choose_recipient:center_captured_rebellion|E a quem deveria concedê-lo?
dlga_supported_pretender_grant_fief_select:supported_pretender_pretalk|Não importa.
dlga_supported_pretender_talk:close_window|Continuemos nossa jornada, {reg65?milady:senhor}.
dlga_do_member_trade:member_talk|Algo mais?
dlga_member_pretalk:member_talk|Algo mais?
dlga_member_chat:member_talk|Sim, {s5}?
dlga_member_talk:member_direct_campaign|Como marechal, quero que envie uma mensagem aos vassalos do reino.
dlga_member_talk:member_trade|Deixe-me ver seus equipamentos.
dlga_member_trade:do_member_trade|Muito bem, está tudo aqui...
dlga_member_talk:view_member_char_requested|O que pode me dizer sobre suas habilidades?
dlga_view_member_char_requested:do_member_view_char|Tudo bem, deixe-me lhe contar...
dlga_member_talk:member_separate|Precisamos nos separar por um tempo.
dlga_member_separate:member_separate_confirm|É mesmo? Bem, eu não ficarei aqui esperando. Vou para as cidades encontrar outro trabalho. É isto o que você quer?
dlga_member_separate:companion_quitting|Bem, na verdade queria dizer-lhe uma coisa.
dlga_member_separate_confirm:member_separate_yes|Sim. É aqui que nos separamos.
dlga_member_separate_confirm:do_member_trade|Não, prefiro ter você ao meu lado.
dlga_member_separate_yes:close_window|Bem... Então eu seguirei meu caminho. Me procure caso precise de mim.
dlga_member_talk:member_question|Gostaria de lhe fazer uma pergunta.
dlga_member_talk:close_window|Não importa.
dlga_member_question:member_question_2|Certo. O que quer saber?
dlga_member_question_2:member_morale|O que acha da forma de como vão as coisas nesta companhia?
dlga_member_question_2:member_background_recap|Conte-me sua história novamente.
