qstr_Artillery|Artilharia
qstr_In_the_year_of_{reg1}|No ano de {reg1}, a Cidade Santa de Hierosolyma foi conquistada pelos Jihadistas Islâmicos. Um dia extremamente doloroso para todo o Cristianismo e alegre para o Islã.
qstr_The_Holy_War_against_|A Guerra Santa contra os Cristãos fracassou completamente. Os principais exércitos do Jihad estão sendo empurrados de volta para o deserto de onde vieram. Jihadistas confusos fogem para todas as terras. Um dia sombrio para o Islã. Allah é verdadeiramente do nosso lado?
qstr_Jihad_Fails|O Jihad Fracassou.
qstr_Victory!_Christiando|Vitória! A Cristandade é vitoriosa. Deus nos protegeu dos pagãos. Estamos agora empurrando-os de volta para o deserto de onde eles vieram.
qstr_The_Holy_War_started_|A Guerra Santa iniciada pelo Islã fracassou completamente. As forças Cruzadas empurraram os pagãos para o deserto.
qstr_{s1}_of_{s3}_was_def|O {s1} do {s3} foi derrotado em batalha, mas conseguiu escapar.
qstr_unknown|desconhecido
qstr_{s54}_is_a_claimant_|{s54} é um dos pretendentes ao trono do {s56}.
qstr_nowhere|nenhum lugar
qstr_{s57}_and_{s58}|{s57} e {s58}
qstr_Christianity|Cristianismo
qstr_Islam|Islã
qstr_Judaism|Judaísmo
qstr_Norse_Paganism|Paganismo Nórdico
qstr_Tengriism|Tengriismo
qstr_Atheism|Ateísmo
qstr__following_{s10}|, seguindo {s10}
qstr_Has_passed_away_from|Passou da Terra.
qstr_{reg3?She:He}|{reg3?Ela:Ele}
qstr_The_town_of_{s50}|A cidade de {s50}
qstr_The_village_of_{s50}|A aldeia de {s50}, próxima a {s52}
qstr_{s51}_belongs_to_{s1|{s51} pertence a {s1}, do {s2}.^
qstr_{s7}_and_{s8}|{s7} e {s8}
qstr_{s2}It_has_no_villag|{s2}Não tem aldeias.^
qstr_{s2}{reg0?Its_villag|{s2}{reg0?Suas aldeias são:Sua aldeia é} {s8}.^
qstr_{s2}Its_prosperity_i|{s2}Sua prosperidade é: {s50}
qstr_noone|ninguém
qstr_{s9}_and_{s10}|{s9} e {s10}
qstr_{s5}_has_been_defeat|O {s5} foi derrotado!
qstr_{s7}_opened_the_gate|{s7} abriu os portões
qstr_{s7}_closed_the_gate|{s7} trancou os portões
qstr_+3_to_piety|+3 de piedade
qstr_Use_this_to_chop_tre|Use isso para cortar árvores.
qstr_Use_this_to_mine_sto|Use isso para minerar pedras.
qstr_Use_this_to_harvest_|Use isso para colher safras.
qstr_Use_this_to_build_a_|Use isso para construir uma estrutura defensiva.
qstr_Can_be_fired_in_batt|Pode ser utilizao em batalha.
qstr_Fool_s_Gold.|Ouro dos tolos.
qstr_Use_this_to_fire_can|Use isso para disparar canhões.
qstr_Use_this_to_cause_te|24/5000
qstr_+{reg1}_to_party_mor|+{reg1} para a moral do grupo
qstr_{reg1}_to_party_mora|{reg1} para a moral do grupo
qstr_Requires_{reg1}_inte|Requer {reg1} pontos de inteligência para ser lido
qstr_Reading_Progress:_{r|Progresso da leitura: {reg1}%
qstr_wound_treament|tratamento de feridas
qstr_trainer|instrução
qstr_surgery|cirurgia
qstr_craftsmanship|manejo de Criação
qstr_atheletics|atletismo
qstr_looting|pilhagem
qstr_+1_to_{s1}_while_in_|+1 de {s1} enquanto se encontra no inventário
qstr_Move_here|Mover aqui
qstr_View_notes|Ver notas
qstr_Accompany|Acompanhar
qstr_killed|morto
qstr_wounded|ferido
qstr_{s0}^Total:_{reg3}__|{s0}^Total: {reg3} ({s2})
qstr_None|Nenhum
qstr_^None|^Nenhum
qstr_nothing|nada
qstr_{reg0}_village{reg1?|{reg0} aldeia{reg1?s:}
qstr_{reg0}_castle{reg1?s|{reg0} castelo{reg1?s:}
qstr_{reg0}_castle{reg1?s:|{reg0} castelo{reg1?s:} e {s0}
qstr_{reg0}_town{reg1?s:}|{reg0} cidade{reg1?s:}
qstr_{reg0}_town{reg1?s:}_|{reg0} cidade{reg1?s:} e {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0} cidade{reg1?s:}, {s0}
qstr_Your_opponents_are_r|Seus oponentes estão prontos para lutar.
qstr_Try_to_destroy_as_ma|Tente destruir quantos alvos puder. Você tem dois minutos e meio para limpar o caminho.
qstr_Stay_behind_the_line|Mantenha-se atrás da linha e atire nos alvos. Tente não desperdiçar disparos.
qstr_Battle_Advantage_=_{|Vantagem em batalha = {reg0}.
qstr_{s9}_wants_you_to_re|O {s9} quer que você continue seguido seu exército até novo aviso.
qstr_Baron_{s0}|Barão {s0}
qstr_Votchinnik_{s0}|Votchinnik {s0}
qstr_Arban_u_{s0}_Darga|Arban-u {s0} Darga
qstr_Drottinn_{s0}|Drottinn {s0}
qstr_Barone_{s0}|Barão {s0}
qstr_Sheik_{s0}|Sheik {s0}
qstr_Viscount_{s0}|Visconde {s0}
qstr_Putniy_Boyar_{s0}|Putniy Boiardo {s0}
qstr_Jagutu_iin_{s0}_Darg|Jagutu-iin {s0} Darga
qstr_Jarl_{s0}|Jarl {s0}
qstr_Visconte_{s0}|Visconde {s0}
qstr_Naquib_{s0}|Naquib {s0}
qstr_Earl_{s0}|Conde {s0}
qstr_Boyar_{s0}|Boiardo {s0}
qstr_Minggan_u_{s0}_Noyan|Minggan-u {s0} Noyan
qstr_High_Jarl_{s0}|Alto Jarl {s0}
qstr_Conte_{s0}|Conde {s0}
qstr_Qadi_{s0}|Qadi {s0}
qstr_Marquess_{s0}|Marquês {s0}
qstr_Sluzhiliy_Knyaz_{s0}|Sluzhiliy Cnezo {s0}
qstr_Tumetu_iin_{s0}_Noya|Tumetu-iin {s0} Noyan
qstr_Greifi_{s0}|Greifi {s0}
qstr_Margrave_{s0}|Margrave {s0}
qstr_High_Qadi_{s0}|Alto Qadi {s0}
qstr_Duke_{s0}|Duque {s0}
qstr_Knyaz_{s0}|Cnezo {s0}
qstr_Bey_{s0}|Bey {s0}
qstr_Hertug_{s0}|Hertug {s0}
qstr_Duca_{s0}|Duque {s0}
qstr_Mushir_{s0}|Mushir {s0}
qstr_Grand_Duke_{s0}|Grande Duque {s0}
qstr_Udelniy_Knyaz_{s0}|Udelniy Cnezo {s0}
qstr_Cherbi_{s0}|Cherbi {s0}
qstr_Erkihertogi_{s0}|Erkihertogi {s0}
qstr_Grand_Duca_{s0}|Grande Duque {s0}
qstr_Grand_Mushir_{s0}|Grande Mushir {s0}
qstr_Archduke_{s0}|Arquiduque {s0}
qstr_Velikiy_Knyaz_{s0}|Velikiy Cnezo {s0}
qstr_Mirza_{s0}|Mirza {s0}
qstr_Prins_{s0}|Príncipe {s0}
qstr_Principe_{s0}|Príncipe {s0}
qstr_Amir_{s0}|Amir {s0}
qstr_Trade_Convoy|Comboio de Comerciantes
qstr__Being_Raided_|(Sendo assaltada)
qstr__Looted_|(Saqueada)
qstr__Under_Siege_|(Sendo sitiado)
qstr_The_village_of_{s1}_|A aldeia de {s1} foi saqueada por {s2}.
qstr_{s3}_is_no_longer_un|{s3} já não se encontra sob cerco.
qstr_Small_bands_of_enemi|Pequenos grupos inimigos foram avistados próximos a {s1}.
qstr_Enemy_patrols_spotte|Patrulhas inimigas foram avistadas próximas a {s1}.
qstr_Medium_sized_group_o|Grupos inimigos de médio porte foram avistados em torno de {s1}.
qstr_Significant_group_of|Um significativo número de tropas inimigas foi detectado próximo a {s1}.
qstr_Army_of_enemies_spot|Um exército inimigo foi detectado nos arredores de {s1}.
qstr_Large_army_of_enemie|Um grande exército inimigo foi detectado próximo a {s1}.
qstr_Great_host_of_enemie|Impressionantes contingentes de tropas inimigas foram avistados em torno de {s1}.
qstr_{s1}_has_been_besieg|{s1} foi sitiado pelo {s2} do {s3}.
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s1}_is_the_new_mars|O {s1} é o novo marechal do {s2}.
qstr_You_gained_{reg12}_r|Seu renome cresceu em {reg12} pontos.
qstr_You_lose_{reg12}_ren|Seu renome foi manchado em {reg12} pontos.
qstr_Your_relation_with_{|Sua relação com {s1} foi melhorada.
qstr_Your_relation_with_{s|Sua relação com {s1} foi deteriorada.
qstr_You_gain_honour.|Você ganha honra.
qstr_You_lose_honour.|Você perde honra.
qstr_{s1}_has_declared_wa|O {s1} declarou guerra ao {s2}.
qstr_{s1}_and_{s2}_have_m|O {s1} e o {s2} firmaram um tratado de paz.
qstr_{s2}_{reg3?was:is_cu|{s2} {reg3?encontrava-se:encontra-se atualmente} em {s3}.
qstr_{s2}_{reg3?was:is}_t|{s2} {reg3?encontrava-se:encontra-se} viajando para {s3} e {reg3?devia estar:deve estar} próximo de {s4}.
qstr_{s2}_{reg3?was:is}_i|{s2} {reg3?encontrava-se:encontra-se} em campo aberto e {reg3? devia estar:deve estar} próximo de {s3}.
qstr_{s2}_{reg3?was:is}_b|{s2} {reg3?encontrava-se:encontra-se} cativo em {s3}.
qstr_{s2}_{reg3?was:has_b|{s2} {reg3?tinha sido:foi} {reg4?capturada:capturado} por seus inimigos.
qstr_{reg3?{s2}_s_locatio|{reg3?A localização de {s2} é desconhecida:Não sei onde {s2} está}.
qstr_{s6}_has_joined_your|{s6} uniu-se a seu exército.
qstr_You_now_owe_{reg2}_F|Você agora deve {reg2} Florins para {s1}.
qstr_Renown_value_for_thi|Por esta batalha, seu renome aumentará em {reg8} pontos.
qstr_You_have_run_into_a_|Você caiu em uma emboscada!
qstr_You_are_attacked_by_|Um grupo de bandidos lhe atacou!
qstr_Holding|Esperando
qstr_Following|Seguindo
qstr_Charging|Atacando
qstr_Advancing|Avançando
qstr_Falling_Back|Retrocedendo
qstr_Standing_Closer|Aproximando-se
qstr_Spreading_Out|Afastando-se
qstr_Standing|Detidos
qstr_N/A|N/A
qstr_Free|Livre
qstr_Mount|Montem em seus cavalos!
qstr_Dismount|Desmontem dos cavalos!
qstr_Any_Weapon|Qualquer arma
qstr_Blunt_Weapons|Armas contundentes
qstr_{s1}_Rebels|Rebeldes do {s1}
qstr_Given_by:_{s62}|Designada por: {s62}
qstr_Given_on:_{s60}|Designada em: {s60}
qstr_You_have_{reg0}_days|Você tem {reg0} dias para completar esta missão.
qstr_This_quest_has_been_|Missão completada. Fale com {s59} para finalizá-la.
qstr_This_quest_has_been_s|Missão completada com sucesso. Fale com {s59} para reclamar sua recompensa.
qstr_This_quest_has_faile|Missão fracassada. Fale com {s59} para explicar-lhe a situação.
qstr_At_the_time_quest_wa|Esta missão, ao momento de ser designada:^{s1}
qstr_{s5}_has_a_strength_|{s5} possui uma força de {reg1} homens no total.
qstr_The_last_time_you_sa|Da última vez que você {reg1?a:o} viu, {s1}
qstr_The_last_time_you_he|Da última vez que você escutou falar acerca {reg1?ela:ele}, {s1}
qstr_Current_garrison_con|A guarnição atual consta de {reg5} homens.^Suas reservas de comida são suficientes para {reg6} dias.
qstr_Very_Poor|Muito Pobre
qstr_Poor|Pobre
qstr_Average|Normal
qstr_Rich|Rica
qstr_Very_Rich|Muito Rica
qstr_Pirates|Piratas
qstr_Manor|uma casa senhorial
qstr_A_manor_lets_you_res|Uma casa senhorial lhe permite descansar na aldeia e pagar a suas tropas a metade do salário enquanto está descansando.
qstr_Mill|um moinho
qstr_A_mill_increases_vil|Um moinho aumenta a prosperidade da aldeia em 5%.
qstr_Watch_Tower|uma torre de vigilância
qstr_A_watch_tower_lets_t|Uma torre de vigilância permite aos camponeses soar alarmes de forma rápida. Além disso, o tempo que seus inimigos levarão para saquear sua aldeia aumentará em 50%.
qstr_School|uma escola
qstr_A_shool_increases_th|Uma escola aumenta a lealdade dos camponeses em +1 por mês.
qstr_Messenger_Post|um posto de mensagens
qstr_A_messenger_post_let|Um posto de mensagens permite aos camponeses enviar-lhe uma mensagem quando inimigos se aproximam, mesmo que você esteja longe.
qstr_Prison_Tower|uma torre de prisioneiros
qstr_A_prison_tower_reduc|Uma torre de prisioneiros reduz a possibilidade de fuga de seus prisioneiros.
qstr_Prosperity_of_{s2}_h|A prosperidade de {s2} mudou de {s3} para {s4}.
qstr_{s4}_looks_upset.|{s4} parece alterado.
qstr_your_party|seu exército
qstr_{reg0?One_of_your_pr|{reg0?Um de seus prisioneiros, :}{s1} do {s3} escapou!
qstr_You_brought_{reg3}_h|Você conduziu {reg3} cabeças de gado a {s1}.
qstr_I_heard_that_there_w|Ouvi dizer que em breve haverá um torneio em {s62}.
qstr_I_heard_that_one_can|Ouvi dizer que é possível comprar {s62} a um preço muito baixo em {s63}.
qstr_I_heard_that_they_pa|Ouvi dizer que pagam um alto preço por {s62} em {s63}.
qstr_two_days_ago|faz dois dias
qstr_The_marshal_is_levyi|O marechal está arrecadando {reg0} tropas do seu centro {s10}.
qstr__profit_|(lucro)
qstr__loss_|(perda)
qstr_Best_threat_of_{s4}_|A maior ameaça de {s4} tem um valor de {reg1}
qstr_No_center_found_to_d|Não foi encontrado nenhum centro para defender
qstr_You_gain_right_to_ru|Você ganha direito de governar.
qstr_You_lose_right_to_ru|Você perde direito de governar.
qstr_Mosque|Mesquita
qstr_Church|Igreja
qstr_The_population_of_{s|A população de {s1} tornou-se tão grande e eles querem mostrar sua riqueza. Como resultado disso, eles atualizaram o {s10} no centro da vila. (+20 Prestígio)
qstr_{s10}_Upgraded!|{s10} Melhorada!
qstr_The_population_of_{s1|A população de {s1} tornou-se tão enorme e eles querem mostrar sua riqueza. Como resultado disso, eles atualizaram o {s10}, o centro da vila. (+20 Prestígio)
qstr_Freemen|(Homem Livre/Mulher Livre)
qstr_Lower_Class|Classe baixa
qstr_You_do_do_not_hold_a|Você não possui nenhum título.
qstr_A_freeman_is_a_perso|U{m/ma} {homem/mulher} livre é uma pessoa não ligada à terra como morador de vila ou servo. Ele tem muitos poucos direitos e nenhum poder.
qstr_Required_Prestige_ne|Prestígio necessário para a proxima classe: 50.
qstr_Freeman_{playername}|{Homem/Mulher} Livre {playername}
qstr_Peasants|dos Camponeses
qstr_Peasants_are_mostly_|Os camponeses são principalmente agricultores. Uma classe muito tradicional, vivendo no campo. Eles possuem terra, que é de direito da nobreza. Em troca eles trabalham e oferecem serviços ao seu senhor.
qstr_Required_Prestige_nex|Prestígio necessário para a proxima classe: 100.
qstr_Peasant_{playername}|{Camponês/Camponesa} {playername}
qstr_Labourers|dos Trabalhadores
qstr_Labourers_are_for_ex|Os trabalhadores são, por exemplo, lenhadores, ferreiros e construtores. Alguns são diaristas, que oferecem pequenos serviços. Outros fornecem um suprimento constante de bens para a comunidade.
qstr_Required_Prestige_next|Prestígio necessário para a proxima classe: 200.
qstr_Labourer_{playername|{Trabalhador/Trabalhadora} {playername}
qstr_Journeymen|dos Trabalhores Especializados
qstr_Journeymen_are_peopl|Trabalhadores Especializados são pessoas que completaram um aprendizado. Ele é totalmente educado no comércio ou na criação de bens, mas ainda não é um mestre. Os especializados tendem a viver nas cidades, servindo a sua guilda.
qstr_Required_Prestige_next_|Prestígio necessário para a proxima classe: 350.
qstr_Journeyman_{playerna|T. Especializad{o/a} {playername}
qstr_Craftsmen|dos Artesãos
qstr_You_belong_to_a_clas|Você pertence a uma classe de artesãos ou trabalhadores qualificados. Mestres na arte ganham respeito e podem ser empregados pela classe alta. Graças às suas habilidades, as cidades parecem muito melhores.
qstr_Required_Prestige_next_c|Prestígio necessário para a proxima classe: 600.
qstr_Craftsman_{playernam|{Artesão/Artesã} {playername}
qstr_Citizens|dos Cidadãos
qstr_Middle_Class|Classe Média
qstr_You_have_finally_ear|Você finalmente ganhou sua cidadania! Você tem mais direitos e algum poder político nas cidades.
qstr_Required_Prestige_next_cl|Prestígio necessário para a proxima classe: 900.
qstr_Citizen_{playername}|{Cidadão/Cidadã} {playername}
qstr_Bourgeoisie|da Burguesia
qstr_You_entered_a_class_|Você entrou em uma classe de empresários autônomos, e de comerciantes, uma classe com boas perspectivas. Trabalhe duro, ganhe dinheiro e a classe alta logo receberá você!
qstr_Required_Prestige_next_cla|Prestígio necessário para a proxima classe: 1200.
qstr_Bourgeois_{playernam|{Burguês/Burguesa} {playername}
qstr_Gentry|da Pequena Nobreza
qstr_Upper_Class|Classe Alta
qstr_Congratulations!_You|Parabéns! Você pode se considerar um dos membros da classe alta. A pequena nobreza refere-se a pessoas com uma boa posição social, a maioria possuindo propriedades. Muitas famílias de ascendência longa que adquiriram o direito oficial de portar um brasão estão relacionadas com esta classe.
qstr_Required_Prestige_next_clas|Prestígio necessário para a proxima classe: 1500.
qstr_Gentryman_{playernam|P. Nobre {playername}
qstr_Aristocrats|dos Aristocratas
qstr_The_aristocracy_is_a|A aristocracia é uma classe de pessoas que ocupam cargos importantes. Essas pessoas são poderosas e muito ricas. Por favor, a próxima classe requer que você seja um vassalo de um reino.
qstr_Required_Prestige_next_class|Prestígio necessário para a proxima classe: 2000.
qstr_Aristocrat_{playerna|Aristocrata {playername}
qstr_Patricians|dos Patrícios
qstr_The_patriciate_is_a_|O patriciado é uma classe separada com uma certa distância para outras pessoas. Pessoas que detêm a patrícia são principalmente prefeitos, administradores e proprietários de terras menores. Há apenas uma pequena barreira para a classe da nobreza.
qstr_Required_Prestige_next_class:|Prestígio necessário para a proxima classe: 2300.
qstr_Patrician_{playernam|{Patrício/Patrícia} {playername}
qstr_Nobility|da Nobreza
qstr_priviled|Classe Privilegiada
qstr_You_hold_the_title_o|Você recebeu o título de {Barão/Baronesa}.
qstr_People_must_greet_yo|As pessoas devem cumprimentá-l{o/a} e chamá-l{o/a} de {"meu senhor"/"minha senhora"}. O rei concedeu-lhe o título de {Barão/Baronesa}, um título antigo. No entanto, este é o título mais baixo, mas você tem o direito de portar um brasão de armas.
qstr_Baron|Barão
qstr_Baron_{playername}|{Barão/Baronesa} {playername}
qstr_You_hold_the_title_of|Você recebeu o título de Votchinnik.
qstr_You_are_holding_a_Du|Você está mantendo um posto Duma agora. Os nobres da Duma têm o terceiro posto de "honra", depois de Boiardos e cortesãos. Eles participaram do encontro com a Duma Boiardo. Isso indica, por exemplo, governadores de assentamentos. Você também pode ter seu próprio brasão!
qstr_Votchinnik|Votchinnik
qstr_Votchinnik_{playerna|Votchinnik {playername}
qstr_You_hold_the_title_of_|Você recebeu o título de Arban-u Darga.
qstr_You_are_a_commander_|Você é u{m/ma} comandante de 10 guerreiros. Você não é mais considerad{o/a} como um dos mais comuns. Você também pode ter seu próprio brasão!
qstr_Arban_u_Darga|Arban-u Darga
qstr_Arban_u_{playername}|Arban-u {playername} Darga
qstr_You_hold_the_title_of_D|Você recebeu o título de Drottinn.
qstr_You_are_considered_a|Você é considerad{o/a} uma pessoa importante. Drottinn significa o mesmo que o Senhor. É um título baixo, mas você pode ter um brasão!
qstr_Drottinn|Drottinn
qstr_Drottinn_{playername|Drottinn {playername}
qstr_You_hold_the_title_of_B|Você recebeu o título de {Barão/Baronesa}.
qstr_Barone|Barão
qstr_Barone_{playername}|{Barão/Baronesa} {playername}
qstr_You_hold_the_title_of_S|Você recebeu o título de {Sheik/Sheikha}.
qstr_A_honourary_title_my|Um título honorário, {meu senhor/minha senhora}! {Sheik/Sheikha} significa 'anci{ão/ã}' e carrega o significado 'líder, governad{or/ora}'. Você também pode ter seu próprio brasão!
qstr_Sheik|Sheik
qstr_Sheik_{playername}|{Sheik/Sheikha} {playername}
qstr_Required_Prestige_next_class:_|Prestígio necessário para a proxima classe: 2750.
qstr_You_hold_the_title_of_V|Você recebeu o título de {Visconde/Viscondessa}.
qstr_Viscount_is_a_title_|{Visconde/Viscondessa} é um título, menor que {Conde/Condessa}, mas ainda oferece respeito e prestígio. Você ajuda o Conde em seu trabalho diário.
qstr_Viscount|Visconde
qstr_Viscount_{playername|{Visconde/Viscondessa} {playername}
qstr_You_hold_the_title_of_P|Você recebeu o título de Putniy Boiard{o/a}.
qstr_You_must_be_proud_si|Você deve estar orgulhos{o/a} de está se tornando importante! Putniy Boiardos é a segunda categoria da Duma. Eles têm muito mais poder que os Votchinniks.
qstr_Putniy_Boyar|Putniy Boiard{o/a}
qstr_Putniy_Boyar_{player|Putniy Boiard{o/a} {playername}
qstr_You_hold_the_title_of_J|Você recebeu o título de Jagutu-iin Darga.
qstr_Commander_of_100_war|Comandante de 100 guerreiros! Sua família deve se orgulhar de você. Pessoas comuns te respeitam. Se você fizer o seu melhor, você pode se tornar Minggan-u Noyan.
qstr_Jagutu_iin_Darga|Jagutu-iin Darga
qstr_Jagutu_iin_{playerna|Jagutu-iin {playername} Darga
qstr_You_hold_the_title_of_Ja|Você recebeu o título de Jarl.
qstr_The_position_of_Jarl|A posição de Jarl é algo que muitos senhores buscam. Historicamente, este título era o mais alto abaixo do rei, mas os tempos mudaram.
qstr_Jarl|Jarl
qstr_Jarl_{playername}|Jarl {playername}
qstr_You_hold_the_title_of_Vi|Você recebeu o título de {Visconde/Viscondessa}.
qstr_Visconte|{Visconde/Viscondessa}
qstr_Visconte_{playername|{Visconde/Viscondessa} {playername}
qstr_You_hold_the_title_of_N|Você recebeu o título de Naquib.
qstr_Naquib|Naquib
qstr_Naquib_{playername}|Naquib {playername}
qstr_Required_Prestige_next_class:_3|Prestígio necessário para a proxima classe: 3250.
qstr_You_hold_the_title_of_E|Você recebeu o título de Cond{e/essa}.
qstr_A_respectable_title.|Um título respeitável. É uma palavra antiga, que significa "chefe". As pessoas tendem a respeitar você. Especialmente as pessoas da classe baixa devem curvar suas cabeças. Você é de sangue azul!
qstr_Earl|Conde
qstr_Earl_{playername}|{Conde/Condessa} {playername}
qstr_You_hold_the_title_of_Bo|Você recebeu o título de Boiard{o/a}.
qstr_Congratulations!_You_|Parabéns! Você alcançou uma posição poderosa. Os Boiardos são na maioria proprietários de terras com seus próprios servos. As pessoas tendem a respeitar você. Especialmente as pessoas da classe baixa devem curvar suas cabeças. Você é de sangue azul!
qstr_Boyar|Boiard{o/a}
qstr_Boyar_{playername}|Boiard{o/a} {playername}
qstr_You_hold_the_title_of_M|Você recebeu o título de Minggan-u Noyan.
qstr_You_are_called_a_com|Você é chamado de comandante de 1.000 guerreiros! Você tem mil soldados sob o seu comando. Bem feito. As pessoas tendem a respeitar você. Especialmente as pessoas da classe baixa devem curvar suas cabeças. Você é de sangue azul!
qstr_Minggan_u_Noyan|Minggan-u Noyan
qstr_Minggan_u_{playernam|Minggan-u {playername} Noyan
qstr_You_hold_the_title_of_H|Você recebeu o título de Alto Jarl.
qstr_You_have_a_better_po|Você tem uma posição melhor que os outros Jarls, o que oferece grandes possibilidades. os plebeus estão respeitando você, sua família também. Bom trabalho!
qstr_High_Jarl|Alto Jarl
qstr_High_Jarl_{playernam|Alto Jarl {playername}
qstr_You_hold_the_title_of_C|Você recebeu o título de Cond{e/essa}.
qstr_Conte_means_the_same|Conde é uma posição poderosa, dada a senhores que governam regiões. As pessoas tendem a respeitar você. Especialmente as pessoas da classe baixa devem curvar suas cabeças. Você é de sangue azul!
qstr_Conte|Cond{e/essa}
qstr_Conte_{playername}|Cond{e/essa} {playername}
qstr_You_hold_the_title_of_Q|Você recebeu o título de Qadi.
qstr_You_are_a_Qadi!_A_Ju|Você é u{m/ma} Qadi! {Um juiz/Uma juiza} designad{o/a} pelo próprio sultão. O principal dever do Qadis é reforçar a observância da Shariah, que transcende todas as outras autoridades do Império.
qstr_Qadi|Qadi
qstr_Qadi_{playername}|Qadi {playername}
qstr_Required_Prestige_next_class:_4|Prestígio necessário para a proxima classe: 4000.
qstr_You_hold_the_title_of_Ma|Você recebeu o título de Marqu{ês/esa}.
qstr_You_are_thrusted_wel|Você está indo bem, {meu senhor/minha senhora}! Você está no comando de uma Marca Territorial agora. Uma província nas fronteiras do Reino. Devido a isso, um marquês é confiável para defender e fortalecer o reino contra vizinhos potencialmente hostis e, portanto, é mais importante e classificado que um conde. Você e sua família estão orgulhosos agora.
qstr_Marquess|Marquês
qstr_Marquess_{playername|{Marquês/Marquesa} {playername}
qstr_You_hold_the_title_of_Sl|Você recebeu o título de Sluzhiliy Cnez{o/a}.
qstr_Welcome_to_the_high_|Bem-vind{o/a} à alta nobreza! Você está em uma posição, principalmente dada aos antigos senhores estrangeiros que perderam sua independência para o Czar. Para combater isso, eles recebem poder sobre grandes territórios.
qstr_Sluzhiliy_Knyaz|Sluzhiliy Cnez{o/a}
qstr_Sluzhiliy_Knyaz_{pla|Sluzhiliy Cnez{o/a} {playername}
qstr_You_hold_the_title_of_T|Você recebeu o título de Tumetu-iin Noyan.
qstr_You_are_called_a_comm|Você é chamad{o/a} de comandante de 10.000 guerreiros! Você tem dez mil soldados sob o seu comando! Você deve estar muito orgulhos{o/a}! Continue fazendo um ótimo trabalho!
qstr_Tumetu_iin_Noyan|Tumetu-iin Noyan
