itm_no_item|ITEM INVÁLIDO
itm_arena_shield_green|Escudo
itm_arena_shield_green_pl|Escudo
itm_arena_shield_yellow|Escudo
itm_arena_shield_yellow_pl|Escudo
itm_arena_armor_white|Armadura Branca da Arena
itm_arena_armor_white_pl|Armadura Branca da Arena
itm_arena_armor_red|Armadura Vermelha da Arena
itm_arena_armor_red_pl|Armadura Vermelha da Arena
itm_arena_armor_blue|Armadura Azul da Arena
itm_arena_armor_blue_pl|Armadura Azul da Arena
itm_arena_armor_green|Armadura Verde da Arena
itm_arena_armor_green_pl|Armadura Verde da Arena
itm_arena_armor_yellow|Armadura Amarela da Arena
itm_arena_armor_yellow_pl|Armadura Amarela da Arena
itm_arena_tunic_white|Túnica Branca da Arena
itm_arena_tunic_white_pl|Túnica Branca da Arena
itm_arena_tunic_red|Túnica Vermelha da Arena
itm_arena_tunic_red_pl|Túnica Vermelha da Arena
itm_arena_tunic_blue|Túnica Azul da Arena
itm_arena_tunic_blue_pl|Túnica Azul da Arena
itm_arena_tunic_green|Túnica Verde da Arena
itm_arena_tunic_green_pl|Túnica Verde da Arena
itm_arena_tunic_yellow|Túnica Amarela da Arena
itm_arena_tunic_yellow_pl|Túnica Amarela da Arena
itm_arena_helmet_red|Elmo Vermelho da Arena
itm_arena_helmet_red_pl|Elmo Vermelho da Arena
itm_arena_helmet_blue|Elmo Azul da Arena
itm_arena_helmet_blue_pl|Elmo Azul da Arena
itm_arena_helmet_green|Elmo Verde da Arena
itm_arena_helmet_green_pl|Elmo Verde da Arena
itm_arena_helmet_yellow|Elmo Amarelo da Arena
itm_arena_helmet_yellow_pl|Elmo Amarelo da Arena
itm_steppe_helmet_white|Elmo Branco da Estepe
itm_steppe_helmet_white_pl|Elmo Branco da Estepe
itm_steppe_helmet_red|Elmo Vermelho da Estepe
itm_steppe_helmet_red_pl|Elmo Vermelho da Estepe
itm_steppe_helmet_blue|Elmo Azul da Estepe
itm_steppe_helmet_blue_pl|Elmo Azul da Estepe
itm_steppe_helmet_green|Elmo Verde da Estepe
itm_steppe_helmet_green_pl|Elmo Verde da Estepe
itm_steppe_helmet_yellow|Elmo Amarelo da Estepe
itm_steppe_helmet_yellow_pl|Elmo Amarelo da Estepe
itm_tourney_helm_white|Elmo Branco de Torneios
itm_tourney_helm_white_pl|Elmo Branco de Torneios
itm_tourney_helm_red|Elmo Vermelho de Torneios
itm_tourney_helm_red_pl|Elmo Vermelho de Torneios
itm_tourney_helm_blue|Elmo Azul de Torneios
itm_tourney_helm_blue_pl|Elmo Azul de Torneios
itm_tourney_helm_green|Elmo Verde de Torneios
itm_tourney_helm_green_pl|Elmo Verde de Torneios
itm_tourney_helm_yellow|Elmo Amarelo de Torneios
itm_tourney_helm_yellow_pl|Elmo Amarelo de Torneios
itm_arena_turban_red|Turbante da Arena
itm_arena_turban_red_pl|Turbante da Arena
itm_arena_turban_blue|Turbante da Arena
itm_arena_turban_blue_pl|Turbante da Arena
itm_arena_turban_green|Turbante da Arena
itm_arena_turban_green_pl|Turbante da Arena
itm_arena_turban_yellow|Turbante da Arena
itm_arena_turban_yellow_pl|Turbante da Arena
itm_book_tactics|De Re Militari
itm_book_tactics_pl|De Re Militari
itm_book_persuasion|Rhetorica Ad Herennium
itm_book_persuasion_pl|Rhetorica Ad Herennium
itm_book_leadership|A Vida de Alixenus, o Grande
itm_book_leadership_pl|A Vida de Alixenus, o Grande
itm_book_intelligence|Ensaios sobre Lógica
itm_book_intelligence_pl|Ensaios sobre Lógica
itm_book_trade|Tratado sobre o Valor das Coisas
itm_book_trade_pl|Tratado sobre o Valor das Coisas
itm_book_weapon_mastery|A Arte de Lutar com Espadas
itm_book_weapon_mastery_pl|A Arte de Lutar com Espadas
itm_book_engineering|Método dos Teoremas Mecânicos
itm_book_engineering_pl|Método dos Teoremas Mecânicos
itm_book_wound_treatment_reference|O Livro da Cura
itm_book_wound_treatment_reference_pl|O Livro da Cura
itm_book_training_reference|Manual das Armas
itm_book_training_reference_pl|Manual das Armas
itm_book_surgery_reference|O Grande Livro da Cirurgia
itm_book_surgery_reference_pl|O Grande Livro da Cirurgia
itm_book_mining_reference|De Re Metallica
itm_book_mining_reference_pl|De Re Metallica
itm_book_craftsmanship_reference|Segredos da Criação
itm_book_craftsmanship_reference_pl|Segredos de Criação
itm_book_piety_a_reference|Bíblia de Gutenberg
itm_book_piety_a_reference_pl|Bíblia de Gutenberg
itm_book_piety_b_reference|Antigo Livro de Lendas
itm_book_piety_b_reference_pl|Antigo Livro de Lendas
itm_book_athletics_reference|Dissertação sobre Corpus Physicum
itm_book_athletics_reference_pl|Dissertação sobre Corpus Physicum
itm_book_looting_reference|Dissertação sobre Conquistas Khergitas
itm_book_looting_reference_pl|Dissertação sobre Conquistas Khergitas
itm_spice|Especiarias
itm_spice_pl|Especiarias
itm_salt|Sal
itm_salt_pl|Sais
itm_oil|Óleo
itm_oil_pl|Óleos
itm_pottery|Cerâmica
itm_pottery_pl|Cerâmicas
itm_raw_flax|Pacote de Linho
itm_raw_flax_pl|Pacotes de Linho
itm_linen|Linho
itm_linen_pl|Linhos
itm_wool|Lã
itm_wool_pl|Lãs
itm_wool_cloth|Tecido de Lã
itm_wool_cloth_pl|Tecidos de Lã
itm_raw_silk|Seda Bruta
itm_raw_silk_pl|Sedas Brutas
itm_raw_dyes|Corantes
itm_raw_dyes_pl|Corantes
itm_velvet|Veludo
itm_velvet_pl|Veludos
itm_iron|Ferro
itm_iron_pl|Ferros
itm_tools|Ferramentas
itm_tools_pl|Ferramentas
itm_raw_leather|Peles Curtidas
itm_raw_leather_pl|Peles Curtidas
itm_leatherwork|Couro
itm_leatherwork_pl|Couro
itm_raw_date_fruit|Tâmara
itm_raw_date_fruit_pl|Tâmaras
itm_furs|Peles
itm_furs_pl|Peles
itm_chocolate_beans|Cacau
itm_chocolate_beans_pl|Cacau
itm_wine|Vinho
itm_wine_pl|Vinhos
itm_ale|Cerveja
itm_ale_pl|Cervejas
itm_mead|Hidromel
itm_mead_pl|Hidromel
itm_rum|Rum
itm_rum_pl|Rum
itm_kumiss|Kumis
itm_kumiss_pl|Kumis
itm_clean_water|Água Limpa
itm_clean_water_pl|Água Limpa
itm_dirty_water|Água Suja
itm_dirty_water_pl|Água Suja
itm_chocolate|Bebida de Chocolate
itm_chocolate_pl|Bebida de Chocolate
itm_seeds|Sementes
itm_seeds_pl|Sementes
itm_cloths|Roupas
itm_cloths_pl|Roupas
itm_shovel|Pá
itm_shovel_pl|Pá
itm_silk|Seda
itm_silk_pl|Seda
itm_brocade|Brocado
itm_brocade_pl|Brocado
itm_gift|Presente
itm_gift_pl|Presente
itm_silver|Prata
itm_silver_pl|Prata
itm_slaves|Escravos
itm_slaves_pl|Escravos
itm_string|Corda de Linho
itm_string_pl|Corda de Linho
itm_chair|Cadeira
itm_chair_pl|Cadeira
itm_cabinet|Gabinete
itm_cabinet_pl|Gabinete
itm_rosary|Rosário
itm_rosary_pl|Rosário
itm_letter_indulgence|Carta de Indulgência
itm_letter_indulgence_pl|Carta de Indulgência
itm_holywater|Água Benta
itm_holywater_pl|Água Benta
itm_book|Livro Manuscrito
itm_book_pl|Livro Manuscrito
itm_clothing_woolen|Roupas de Lã
itm_clothing_woolen_pl|Roupas de Lã
itm_clothing_linen|Roupa de Linho
itm_clothing_linen_pl|Roupa de Linho
itm_clothing_silk|Roupas de Seda
itm_clothing_silk_pl|Roupas de Seda
itm_clothing_velvet|Roupas de Veludo
itm_clothing_velvet_pl|Roupas de Veludo
itm_clothing_brocade|Roupas de Brocado
itm_clothing_brocade_pl|Roupas de Brocado
itm_stone|Pedra
itm_stone_pl|Pedras
itm_timber|Madeira
itm_timber_pl|Madeiras
itm_marble|Mármore
itm_marble_pl|Mármores
itm_gunpowder|Pólvora
itm_gunpowder_pl|Pólvoras
itm_cannonballs|Balas de Canhão
itm_cannonballs_pl|Balas de Canhão
itm_steel|Aço
itm_steel_pl|Aços
itm_gabions|Gabiões Defensivos
itm_gabions_pl|Gabiões Defensivos
itm_cannon|Canhão
itm_cannon_pl|Canhão
itm_hosts_consecrated|Hóstias Consagradas
itm_hosts_consecrated_pl|Hóstias Consagradas
itm_seal|Selo Episcopal
itm_seal_pl|Selos Episcopais
itm_smoked_fish|Peixe Defumado
itm_smoked_fish_pl|Peixes Defumados
itm_cheese|Queijo
itm_cheese_pl|Queijos
itm_honey|Mel
itm_honey_pl|Mel
itm_sausages|Salsichas
itm_sausages_pl|Salsichas
itm_cabbages|Repolhos
itm_cabbages_pl|Repolhos
itm_dried_meat|Carne Seca
itm_dried_meat_pl|Carnes Secas
itm_apples|Frutas
itm_apples_pl|Frutas
itm_raw_grapes|Uvas
itm_raw_grapes_pl|Uvas
itm_raw_olives|Azeitonas
itm_raw_olives_pl|Azeitonas
itm_flour|Trigo
itm_flour_pl|Trigo
itm_cattle_meat|Carne Bovina
itm_cattle_meat_pl|Carnes Bovina
itm_bread|Pão
itm_bread_pl|Pães
itm_bread_b|Pão
itm_bread_b_pl|Pães
itm_bread_c|Pão
itm_bread_c_pl|Pães
itm_bread_d|Pão
itm_bread_d_pl|Pães
itm_bread_e|Pão
itm_bread_e_pl|Pães
itm_chicken|Frango
itm_chicken_pl|Frangos
itm_pork|Carne de Porco
itm_pork_pl|Carnes de Porco
itm_butter|Manteiga
itm_butter_pl|Manteigas
itm_maize|Milho
itm_maize_pl|Milhos
itm_deer_meat|Carne de Veado
itm_deer_meat_pl|Carnes de Veado
itm_boar_meat|Carne de Javali
itm_boar_meat_pl|Carnes de Javali
itm_alpaca_meat|Carne de Alpaca
itm_alpaca_meat_pl|Carnes de Alpaca
itm_turkey_meat|Carne de Peru
itm_turkey_meat_pl|Carnes de Peru
itm_siege_supply|Suprimentos
itm_siege_supply_pl|Suprimentos
itm_quest_wine|Vinho
itm_quest_wine_pl|Vinhos
itm_quest_ale|Cerveja
itm_quest_ale_pl|Cervejas
itm_handle|Cabo
itm_handle_pl|Cabos
itm_blade_sword|Lâmina de Espada
itm_blade_sword_pl|Lâminas de Espada
itm_blade_axe|Lâmina de Machado
itm_blade_axe_pl|Lâminas de Machado
itm_blade_poleaxe|Lâmina de Arma de Haste
itm_blade_poleaxe_pl|Lâminas de Arma de Haste
itm_head_mace|Cabeça de Maça
itm_head_mace_pl|Cabeças de Maça
itm_pauldrons|Brafoneiras
itm_pauldrons_pl|Brafoneiras
itm_tassets|Juntas
itm_tassets_pl|Juntas
itm_cuisses|Perneiras
itm_cuisses_pl|Perneiras
itm_salet|Capacete
itm_salet_pl|Capacete
itm_visor|Viseira
itm_visor_pl|Viseira
itm_bracers|Braçadeiras
itm_bracers_pl|Braçadeiras
itm_greaves|Caneleiras
itm_greaves_pl|Caneleiras
itm_breastplate|Peitoral
itm_breastplate_pl|Peitoral
itm_firearm_barrel|Cano de Arma de Fogo
itm_firearm_barrel_pl|Cano de Arma de Fogo
itm_shield|Painel de Escudo
itm_shield_pl|Painel de Escudo
itm_chair_leg|Perna de Madeira
itm_chair_leg_pl|Perna de Madeira
itm_panel|Painel Esculpido
itm_panel_pl|Painel Esculpido
itm_stock|Cepo de Madeira (bem duro)
itm_stock_pl|Cepo de Madeira (bem duro)
itm_bow_limb|Madeira de Arco
itm_bow_limb_pl|Madeira de Arco
itm_panel_b|Painel de Madeira
itm_panel_b_pl|Painel de Madeira
itm_pole|Bastão
itm_pole_pl|Bastão
itm_heft|Cabo
itm_heft_pl|Cabo
itm_parchment|Pergaminho
itm_parchment_pl|Pergaminho
itm_parchment_written|Pergaminho Escrito
itm_parchment_written_pl|Pergaminho Escrito
itm_hosts|Hóstias
itm_hosts_pl|Hóstias
itm_leather_plate|Placa de Couro
itm_leather_plate_pl|Placa de Couro
itm_leather_coat|Casaco de Couro
itm_leather_coat_pl|Casaco de Couro
itm_leather_thong|Correia de Couro
itm_leather_thong_pl|Correia de Couro
itm_shirt_wool|Camisa de Lã
itm_shirt_wool_pl|Camisa de Lã
itm_sleeve_wool|Luva de Lã
itm_sleeve_wool_pl|Luva de Lã
itm_shirt_linen|Camisa de Linho
itm_shirt_linen_pl|Camisa de Linho
itm_sleeve_linen|Luva de Linho
itm_sleeve_linen_pl|Luva de Linho
itm_shirt_silk|Camisa de Seda
itm_shirt_silk_pl|Camisa de Seda
itm_sleeve_silk|Luva de Seda
itm_sleeve_silk_pl|Luva de Seda
itm_shirt_velvet|Camisa de Veludo
itm_shirt_velvet_pl|Camisa de Veludo
itm_sleeve_velvet|Luva de Veludo
itm_sleeve_velvet_pl|Luva de Veludo
itm_shirt_brocade|Camisa de Brocado
itm_shirt_brocade_pl|Camisa de Brocado
itm_sleeve_brocade|Luva de Brocado
itm_sleeve_brocade_pl|Luva de Brocado
itm_semigoods_end|semi bens Final
itm_semigoods_end_pl|semi bens Final
itm_sumpter_horse|Cavalo de Carga
itm_sumpter_horse_pl|Cavalo de Carga
itm_saddle_horse|Cavalo Selado
itm_saddle_horse_pl|Cavalo Selado
itm_steppe_horse|Cavalo da Estepe
itm_steppe_horse_pl|Cavalo da Estepe
itm_arabian_horse_a|Cavalo do Deserto
itm_arabian_horse_a_pl|Cavalo do Deserto
itm_courser|Corcel
itm_courser_pl|Corcel
itm_arabian_horse_b|Cavalo Sarranide
itm_arabian_horse_b_pl|Cavalo Sarranide
itm_hunter|Cavalo de Caça
itm_hunter_pl|Cavalo de Caça
itm_warhorse|Cavalo de Guerra
itm_warhorse_pl|Cavalo de Guerra
itm_charger|Cavalo de Batalha
itm_charger_pl|Cavalo de Batalha
itm_bullets_5|Bolsa Pequena de Balas
itm_bullets_5_pl|Bolsa Pequena de Balas
itm_bullets_10|Bolsa Grande de Balas
itm_bullets_10_pl|Bolsa Grande de Balas
itm_bullets_15|Bolsa de Balas
itm_bullets_15_pl|Bolsa de Balas
itm_bullets_end|fim das Balas
itm_bullets_end_pl|fim das Balas
itm_pilgrim_disguise|Veste de Peregrino
itm_pilgrim_disguise_pl|Veste de Peregrino
itm_pilgrim_hood|Capuz de Peregrino
itm_pilgrim_hood_pl|Capuz de Peregrino
itm_wrapping_boots|Perneiras
itm_wrapping_boots_pl|Perneiras
itm_woolen_hose|Calças de Lã
itm_woolen_hose_pl|Calças de Lã
itm_blue_hose|Calças Azuis
itm_blue_hose_pl|Calças Azuis
itm_hunter_boots|Botas de Caçador
itm_hunter_boots_pl|Botas de Caçador
itm_hide_boots|Botas de Pele
itm_hide_boots_pl|Botas de Pele
itm_ankle_boots|Botas
itm_ankle_boots_pl|Botas
itm_nomad_boots|Botas nômades
itm_nomad_boots_pl|Botas nômades
itm_leather_boots|Botas de Couro 
itm_leather_boots_pl|Botas de Couro
itm_rus_shoes|Botas Vaegir
itm_rus_shoes_pl|Botas Vaegir
itm_jackboots|Botas de Cano Alto
itm_jackboots_pl|Botas de Cano Alto
itm_rus_cav_boots|Botas de Cavalaria
itm_rus_cav_boots_pl|Botas de Cavalaria
itm_turguhn_boots|Botas Turguhn 
itm_turguhn_boots_pl|Botas Turguhn
itm_boot_khergit|Botas Nômades
itm_boot_khergit_pl|Botas Nômades
itm_boot_nomad_b|Botas Nômades
itm_boot_nomad_b_pl|Botas Nômades
itm_khergit_leather_boots|Botas de Couro Khergitas
itm_khergit_leather_boots_pl|Botas de Couro Khergitas
itm_sarranid_boots_a|Sapatos Sarranides
itm_sarranid_boots_a_pl|Sapatos Sarranides
itm_sarranid_boots_b|Botas de Couro Sarranides
itm_sarranid_boots_b_pl|Botas de Couro Sarranides
itm_sarranid_head_cloth|Tocado de Dama
itm_sarranid_head_cloth_pl|Tocado de Dama
itm_sarranid_head_cloth_b|Tocado de Dama
itm_sarranid_head_cloth_b_pl|Tocado de Dama
itm_sarranid_felt_head_cloth|Tocado
itm_sarranid_felt_head_cloth_pl|Tocado
itm_sarranid_felt_head_cloth_b|Tocado
itm_sarranid_felt_head_cloth_b_pl|Tocado
itm_nomad_armor|Armadura nômade
itm_nomad_armor_pl|Armadura nômade
itm_khergit_armor|Armadura Khergita
itm_khergit_armor_pl|Armadura Khergita
itm_rawhide_coat|Casaco de Couro Bruto
itm_rawhide_coat_pl|Casaco de Couro Bruto
itm_fur_coat|Casaco de Pele
itm_fur_coat_pl|Casaco de Pele
itm_coat|Casaco
itm_coat_pl|Casaco
itm_leather_coata|Casaco de Couro
itm_leather_coata_pl|Casaco de Couro
itm_mail_coat|Cota de Malha
itm_mail_coat_pl|Cota de Malha
itm_long_mail_coat|Cota de Malha Comprida
itm_long_mail_coat_pl|Cota de Malha Comprida
itm_mail_with_tunic_red|Cota de Malha com Túnica
itm_mail_with_tunic_red_pl|Cota de Malha com Túnica
itm_mail_with_tunic_green|Cota de Malha com Túnica
itm_mail_with_tunic_green_pl|Cota de Malha com Túnica
itm_hide_coat|Casaco de Peles
itm_hide_coat_pl|Casaco de Peles
itm_merchant_outfit|Roupa de Mercante
itm_merchant_outfit_pl|Roupa de Mercante
itm_homespun_dress|Vestido Caseiro
itm_homespun_dress_pl|Vestido Caseiro
itm_thick_coat|Casaco Espesso
itm_thick_coat_pl|Casaco Espesso
itm_coat_with_cape|Casaco com Capa
itm_coat_with_cape_pl|Casaco com Capa
itm_steppe_outfit|Roupa de Estepe
itm_steppe_outfit_pl|Roupa de Estepe
itm_nordic_outfit|Roupa Nórdica
itm_nordic_outfit_pl|Roupa Nórdica
itm_nordic_armor|Armadura Nórdica
itm_nordic_armor_pl|Armadura Nórdica
itm_hide_armor|Armadura de Peles
itm_hide_armor_pl|Armadura de Peles
itm_cloaked_tunic|Túnica de Disfarce
itm_cloaked_tunic_pl|Túnica de Disfarce
itm_sleeveless_tunic|Túnica Sem Mangas
itm_sleeveless_tunic_pl|Túnica Sem Mangas
itm_sleeveless_leather_tunic|Túnica de Couro Sem Mangas
itm_sleeveless_leather_tunic_pl|Túnica de Couro Sem Mangas
itm_linen_shirt|Camisa de Linho
itm_linen_shirt_pl|Camisa de Linho
itm_wool_coat|Casaco de Lã
itm_wool_coat_pl|Casaco de Lã
itm_shirt|Camisa
itm_shirt_pl|Camisa
itm_red_shirt|Camisa Vermelha
itm_red_shirt_pl|Camisa Vermelha
itm_red_tunic|Túnica Vermelha
itm_red_tunic_pl|Túnica Vermelha
itm_green_tunic|Túnica Verde
itm_green_tunic_pl|Túnica Verde
itm_blue_tunic|Túnica Azul
itm_blue_tunic_pl|Túnica Azul
itm_robe|Hábito
itm_robe_pl|Hábito
itm_leather_apron|Avental de Couro
itm_leather_apron_pl|Avental de Couro
itm_nomad_vest|Jaleco nômade
itm_nomad_vest_pl|Jaleco nômade
itm_ragged_outfit|Traje Surrado
itm_ragged_outfit_pl|Traje Surrado
itm_tribal_warrior_outfit|Traje de Guerreiro Tribal
itm_tribal_warrior_outfit_pl|Traje de Guerreiro Tribal
itm_nomad_robe|Manto Nômade
itm_nomad_robe_pl|Manto Nômade
itm_studded_leather_coat|Casaco de Couro Cravejado
itm_studded_leather_coat_pl|Casaco de Couro Cravejado
itm_byrnie|Byrnie
itm_byrnie_pl|Byrnie
itm_haubergeon|Loriga
itm_haubergeon_pl|Loriga
itm_lamellar_vest|Jaleco Lamelar
itm_lamellar_vest_pl|Jaleco Lamelar
itm_lamellar_vest_khergit|Jaleco Lamelar Khergita
itm_lamellar_vest_khergit_pl|Jaleco Lamelar Khergita
itm_mail_shirt|Camisa de Cota de Malha
itm_mail_shirt_pl|Camisa de Cota de Malha
itm_mail_hauberk|Loriga de Malha
itm_mail_hauberk_pl|Loriga de Malha
itm_mail_with_surcoat|Malha com sobretudo
itm_mail_with_surcoat_pl|Malha com sobretudo
itm_surcoat_over_mail|sobretudo sobre Malhas
itm_surcoat_over_mail_pl|sobretudo sobre Malhas
itm_brigandine_red_native|Brigantina
itm_brigandine_red_native_pl|Brigantina
itm_lamellar_armor|Armadura Lamelar
itm_lamellar_armor_pl|Armadura Lamelar
itm_scale_armor|Armadura de Escamas
itm_scale_armor_pl|Armadura de Escamas
itm_banded_armor|Armadura Atada
itm_banded_armor_pl|Armadura Atada
itm_pelt_coat|Casaco de Pele
itm_pelt_coat_pl|Casaco de Pele
itm_khergit_elite_armor|Armadura de elite Khergita
itm_khergit_elite_armor_pl|Armadura de elite Khergita
itm_vaegir_elite_armor|Armadura de elite Vaegir
itm_vaegir_elite_armor_pl|Armadura de elite Vaegir
itm_sarranid_elite_armor|Armadura de elite Sarranide
itm_sarranid_elite_armor_pl|Armadura de elite Sarranide
itm_sarranid_dress_a|Vestido
itm_sarranid_dress_a_pl|Vestido
itm_sarranid_dress_b|Vestido
itm_sarranid_dress_b_pl|Vestido
itm_skirmisher_armor|Armadura de Escaramuçador
itm_skirmisher_armor_pl|Armadura de Escaramuçador
itm_arabian_armor_b|Armadura de Guarda Sarranide
itm_arabian_armor_b_pl|Armadura de Guarda Sarranide
itm_sarranid_mail_shirt|Cota de Malha Sarranide
itm_sarranid_mail_shirt_pl|Cota de Malha Sarranide
itm_mamluke_mail|Malha Mameluca
itm_mamluke_mail_pl|Malha Mameluca
itm_burlap_tunic|Túnica de Serapilheira
itm_burlap_tunic_pl|Túnica de Serapilheira
itm_heraldic_mail_with_surcoat|Malha heráldica com sobretudo
itm_heraldic_mail_with_surcoat_pl|Malha heráldica com sobretudo
itm_heraldic_mail_with_tunic|Malha heráldica
itm_heraldic_mail_with_tunic_pl|Malha heráldica
itm_heraldic_mail_with_tunic_b|Malha heráldica
itm_heraldic_mail_with_tunic_b_pl|Malha heráldica
itm_heraldic_mail_with_tabard|Malha heráldica com Tabardo
itm_heraldic_mail_with_tabard_pl|Malha heráldica com Tabardo
itm_turret_hat_ruby|Barbeta
itm_turret_hat_ruby_pl|Barbeta
itm_turret_hat_blue|Barbeta
itm_turret_hat_blue_pl|Barbeta
itm_turret_hat_green|Barbeta
itm_turret_hat_green_pl|Barbeta
itm_head_wrappings|Turbante
itm_head_wrappings_pl|Turbante
itm_straw_hat|Sombreiro de Palha
itm_straw_hat_pl|Sombreiro de Palha
itm_fur_hat|Sombreiro de Pele
itm_fur_hat_pl|Sombreiro de Pele
itm_nomad_cap|Gorro nômade
itm_nomad_cap_pl|Gorro nômade
itm_nomad_cap_b|Gorro nômade
itm_nomad_cap_b_pl|Gorro nômade
itm_steppe_cap|Gorro da Estepe
itm_steppe_cap_pl|Gorro da Estepe
itm_felt_hat|Sombreiro de Feltro
itm_felt_hat_pl|Sombreiro de Feltro
itm_felt_hat_b|Sombreiro de Feltro
itm_felt_hat_b_pl|Sombreiro de Feltro
itm_leather_steppe_cap_a|Crespina da Estepe
itm_leather_steppe_cap_a_pl|Crespina da Estepe
itm_leather_steppe_cap_b|Crespina da Estepe
itm_leather_steppe_cap_b_pl|Crespina da Estepe
itm_leather_steppe_cap_c|Crespina da Estepe
itm_leather_steppe_cap_c_pl|Crespina da Estepe
itm_leather_warrior_cap|Gorro de Couro de Guerreiro
itm_leather_warrior_cap_pl|Gorro de Couro de Guerreiro
itm_skullcap|Capacete
itm_skullcap_pl|Capacete
itm_mail_coif|Coifa de Malha
itm_mail_coif_pl|Coifa de Malha
itm_footman_helmet|Elmo de Soldado de Pé
itm_footman_helmet_pl|Elmo de Soldado de Pé
itm_nasal_helmet|Elmo Nasal
itm_nasal_helmet_pl|Elmo Nasal
itm_norman_helmet|Elmo Acolchoado
